step	loss
21	2.7840166091918945
43	2.593402624130249
65	2.533719301223755
87	2.501654624938965
109	2.4828436374664307
131	2.472734212875366
153	2.462045192718506
175	2.4517250061035156
197	2.4276418685913086
219	2.4071900844573975
